Date,Temperature,Humidity,CH4,CO2,H2S,NH3,pH,RED,GREEN,BLUE
5/18/2025 1:09,32.7,95.3,0.84,333.54,0.37,0.02,10.32,146.0,0.0,47.0
5/18/2025 1:30,32.6,95.9,1.04,418.28,0.44,0.03,9.63,132.0,0.0,24.0
5/18/2025 1:31,32.6,95.9,1.06,460.83,0.45,0.03,9.52,141.0,0.0,48.0
5/18/2025 1:32,32.6,95.9,1.08,482.64,0.46,0.03,9.3,148.0,0.0,47.0
5/18/2025 1:33,32.6,95.8,1.05,482.04,0.45,0.03,9.53,150.0,0.0,50.0
5/18/2025 1:34,32.6,95.8,1.04,489.95,0.45,0.03,9.42,148.0,0.0,45.0
5/18/2025 1:39,32.7,95.6,1.11,527.33,0.47,0.03,9.37,149.0,11.0,59.0
5/18/2025 1:40,32.7,95.6,1.04,510.28,0.45,0.03,9.36,150.0,13.0,59.0
5/18/2025 1:41,32.7,95.6,0.98,493.4,0.43,0.03,9.62,152.0,16.0,68.0
5/18/2025 1:42,32.7,95.6,0.96,489.43,0.42,0.02,9.64,153.0,22.0,66.0
5/18/2025 1:43,32.7,95.6,1.0,501.44,0.43,0.03,9.41,149.0,12.0,66.0
5/18/2025 1:44,32.7,95.6,1.06,517.7,0.45,0.03,9.28,148.0,5.0,59.0
5/18/2025 1:45,32.7,95.6,1.02,508.48,0.44,0.03,9.42,155.0,15.0,64.0
5/18/2025 1:46,32.7,95.5,1.02,507.89,0.44,0.03,9.45,152.0,14.0,67.0
5/18/2025 1:47,32.8,95.5,1.03,510.29,0.44,0.03,9.36,151.0,15.0,66.0
5/18/2025 1:48,32.7,95.5,1.03,508.55,0.43,0.03,9.44,151.0,13.0,62.0
5/18/2025 1:49,32.8,95.5,1.09,519.93,0.45,0.03,9.39,151.0,18.0,71.0
5/18/2025 1:55,32.8,95.5,1.08,530.4,0.46,0.03,9.45,151.0,15.0,64.0
5/18/2025 1:56,32.7,95.5,1.09,534.97,0.46,0.03,9.41,152.0,20.0,70.0
5/18/2025 1:57,32.7,95.5,1.0,512.64,0.43,0.03,9.48,155.0,23.0,74.0
5/18/2025 1:58,32.7,95.5,1.05,528.41,0.44,0.03,9.29,152.0,16.0,68.0
5/18/2025 2:09,32.8,95.6,1.05,547.26,0.44,0.03,9.29,154.0,28.0,76.0
5/18/2025 2:10,32.8,95.5,1.1,555.72,0.44,0.04,9.28,154.0,27.0,73.0
5/18/2025 2:29,32.7,95.7,1.28,623.71,0.48,0.05,9.28,156.0,37.0,81.0
5/18/2025 2:35,32.7,95.7,1.06,554.93,0.42,0.04,9.51,159.0,49.0,93.0
5/18/2025 2:37,32.7,95.7,1.05,547.37,0.41,0.03,9.52,156.0,44.0,83.0
5/18/2025 2:38,32.7,95.7,1.03,547.27,0.41,0.03,9.4,158.0,49.0,87.0
5/18/2025 2:39,32.7,95.7,1.03,543.43,0.41,0.03,9.34,159.0,44.0,86.0
5/18/2025 2:40,32.7,95.7,1.04,557.0,0.41,0.03,9.55,166.0,58.0,97.0
5/18/2025 2:44,32.7,95.7,1.06,572.99,0.42,0.03,9.51,163.0,62.0,97.0
5/18/2025 2:45,32.7,95.7,1.13,596.04,0.43,0.03,9.52,170.0,62.0,106.0
5/18/2025 2:46,32.7,95.8,1.03,576.85,0.41,0.03,9.41,161.0,60.0,96.0
5/18/2025 2:50,32.7,95.8,1.08,587.73,0.42,0.03,9.29,158.0,51.0,95.0
5/18/2025 2:51,32.7,95.7,0.96,556.94,0.38,0.02,9.71,167.0,64.0,102.0
5/18/2025 2:52,32.7,95.7,0.89,531.51,0.37,0.02,9.84,166.0,68.0,105.0
5/18/2025 2:53,32.7,95.7,0.86,529.02,0.36,0.02,9.87,174.0,66.0,106.0
5/18/2025 2:54,32.7,95.7,0.85,506.74,0.35,0.02,9.88,167.0,70.0,107.0
5/18/2025 2:55,32.7,95.7,0.86,520.5,0.35,0.02,9.87,171.0,66.0,107.0
5/18/2025 2:56,32.7,95.7,0.86,524.74,0.35,0.02,9.81,166.0,65.0,109.0
5/18/2025 2:57,32.7,95.7,0.86,515.03,0.35,0.02,9.82,167.0,68.0,105.0
5/18/2025 2:58,32.7,95.7,0.85,522.32,0.35,0.02,9.85,165.0,67.0,105.0
5/18/2025 2:59,32.7,95.7,0.85,520.46,0.35,0.02,9.84,165.0,67.0,104.0
5/18/2025 3:00,32.7,95.7,0.85,525.33,0.35,0.02,9.84,173.0,65.0,105.0
5/18/2025 3:01,32.7,95.7,0.85,524.13,0.35,0.02,9.81,167.0,63.0,104.0
5/18/2025 3:02,32.7,95.7,0.85,519.86,0.35,0.02,9.84,168.0,68.0,104.0
5/18/2025 3:03,32.7,95.7,0.87,513.84,0.35,0.02,9.76,161.0,58.0,100.0
5/18/2025 3:04,32.7,95.6,0.88,513.24,0.35,0.02,9.73,161.0,57.0,100.0
5/18/2025 3:05,32.7,95.7,0.88,527.81,0.35,0.02,9.74,166.0,57.0,97.0
5/18/2025 3:06,32.7,95.7,0.89,524.73,0.36,0.02,9.75,166.0,58.0,98.0
5/18/2025 3:07,32.8,95.6,0.88,521.07,0.35,0.02,9.76,161.0,58.0,100.0
5/18/2025 3:08,32.7,95.7,0.88,519.25,0.35,0.02,9.74,161.0,62.0,97.0
5/18/2025 3:09,32.8,95.6,0.88,521.07,0.36,0.02,9.76,161.0,59.0,97.0
5/18/2025 3:10,32.7,95.7,0.89,516.84,0.36,0.02,9.69,161.0,62.0,97.0
5/18/2025 3:11,32.7,95.6,0.9,516.23,0.36,0.02,9.69,160.0,59.0,95.0
5/18/2025 3:12,32.8,95.7,0.92,520.46,0.36,0.02,9.57,158.0,57.0,93.0
5/18/2025 3:13,32.7,95.6,0.93,521.06,0.37,0.02,9.55,158.0,56.0,92.0
5/18/2025 3:14,32.7,95.6,0.97,530.88,0.37,0.02,9.42,156.0,49.0,93.0
5/18/2025 3:17,32.7,95.7,0.88,500.28,0.35,0.02,9.85,162.0,62.0,103.0
5/18/2025 3:18,32.7,95.7,0.85,497.38,0.34,0.02,9.92,163.0,59.0,104.0
5/18/2025 3:19,32.7,95.7,0.83,491.63,0.34,0.02,9.94,164.0,65.0,106.0
5/18/2025 3:20,32.7,95.6,0.82,491.63,0.33,0.02,9.96,164.0,62.0,103.0
5/18/2025 3:21,32.7,95.6,0.82,491.63,0.33,0.02,9.94,164.0,69.0,103.0
5/18/2025 3:22,32.7,95.6,0.82,497.37,0.33,0.02,9.96,164.0,62.0,106.0
5/18/2025 3:23,32.7,95.6,0.81,485.96,0.33,0.02,9.97,164.0,71.0,104.0
5/18/2025 3:24,32.7,95.6,0.81,485.96,0.33,0.02,9.95,164.0,61.0,102.0
5/18/2025 3:25,32.7,95.6,0.82,482.04,0.33,0.02,9.94,167.0,65.0,103.0
5/18/2025 3:26,32.7,95.6,0.82,484.28,0.33,0.02,9.96,168.0,65.0,104.0
5/18/2025 3:27,32.7,95.6,0.81,485.96,0.32,0.02,9.97,168.0,63.0,107.0
5/18/2025 3:28,32.7,95.6,0.81,500.86,0.32,0.02,9.98,169.0,66.0,104.0
5/18/2025 3:29,32.7,95.6,0.81,496.8,0.32,0.02,10.0,165.0,68.0,108.0
5/18/2025 3:30,32.7,95.6,0.8,489.36,0.32,0.02,10.0,165.0,67.0,105.0
5/18/2025 3:31,32.7,95.6,0.8,489.36,0.32,0.02,10.01,165.0,64.0,108.0
5/18/2025 3:32,32.7,95.6,0.8,481.48,0.32,0.02,10.0,165.0,72.0,105.0
5/18/2025 3:33,32.7,95.6,0.8,492.21,0.32,0.02,10.01,169.0,64.0,105.0
5/18/2025 3:34,32.7,95.6,0.8,487.1,0.32,0.02,10.01,169.0,64.0,108.0
5/18/2025 3:35,32.7,95.6,0.8,480.93,0.32,0.02,10.06,169.0,66.0,106.0
5/18/2025 3:36,32.7,95.5,0.8,468.83,0.32,0.02,10.03,169.0,65.0,106.0
5/18/2025 3:37,32.7,95.6,0.79,453.9,0.32,0.02,10.42,165.0,65.0,109.0
5/18/2025 3:38,32.7,95.6,0.79,461.84,0.31,0.02,10.08,165.0,73.0,106.0
5/18/2025 3:39,32.7,95.6,0.79,467.21,0.32,0.02,10.01,168.0,69.0,105.0
5/18/2025 3:40,32.7,95.5,0.8,473.19,0.32,0.02,9.96,164.0,70.0,103.0
5/18/2025 3:41,32.7,95.6,0.82,480.37,0.32,0.02,9.89,166.0,59.0,102.0
5/18/2025 3:42,32.7,95.6,0.84,483.17,0.33,0.02,9.88,162.0,64.0,105.0
5/18/2025 3:43,32.7,95.6,0.84,483.16,0.33,0.02,9.88,161.0,59.0,100.0
5/18/2025 3:44,32.7,95.6,0.84,487.1,0.33,0.02,9.89,162.0,59.0,104.0
5/18/2025 3:45,32.7,95.6,0.84,481.54,0.33,0.02,9.89,169.0,58.0,100.0
5/18/2025 3:46,32.7,95.6,0.85,493.0,0.33,0.02,9.86,161.0,66.0,100.0
5/18/2025 3:47,32.7,95.6,0.84,496.0,0.33,0.02,9.86,162.0,64.0,104.0
5/18/2025 3:48,32.7,95.5,0.83,482.21,0.32,0.02,9.91,162.0,60.0,101.0
5/18/2025 3:49,32.7,95.6,0.83,461.86,0.32,0.02,9.95,163.0,64.0,101.0
5/18/2025 3:50,32.7,95.5,0.82,458.64,0.32,0.02,9.98,163.0,68.0,101.0
5/18/2025 3:51,32.7,95.6,0.81,453.37,0.32,0.02,10.01,163.0,67.0,102.0
5/18/2025 3:52,32.7,95.6,0.8,453.37,0.31,0.02,10.01,170.0,61.0,102.0
5/18/2025 3:53,32.7,95.6,0.8,453.37,0.31,0.02,10.04,166.0,62.0,103.0
5/18/2025 3:54,32.7,95.6,0.8,444.06,0.31,0.02,10.02,163.0,64.0,102.0
5/18/2025 3:55,32.7,95.6,0.81,445.09,0.31,0.02,9.99,163.0,65.0,106.0
5/18/2025 3:56,32.7,95.6,0.81,442.02,0.31,0.02,9.97,167.0,64.0,102.0
5/18/2025 3:57,32.7,95.6,0.81,445.1,0.31,0.02,9.99,162.0,67.0,101.0
5/18/2025 3:58,32.7,95.6,0.81,446.63,0.31,0.02,9.99,163.0,65.0,102.0
5/18/2025 3:59,32.7,95.6,0.82,449.21,0.31,0.02,9.95,162.0,64.0,102.0
5/18/2025 4:00,32.7,95.6,0.81,407.84,0.31,0.02,9.98,163.0,65.0,102.0
5/18/2025 4:01,32.7,95.6,0.82,393.27,0.31,0.02,9.97,163.0,65.0,106.0
5/18/2025 4:03,32.7,95.6,0.83,397.23,0.31,0.02,9.94,162.0,68.0,101.0
5/18/2025 4:04,32.7,95.6,0.84,393.78,0.32,0.02,9.93,163.0,63.0,101.0
5/18/2025 4:05,32.7,95.5,0.85,370.9,0.32,0.02,9.9,161.0,61.0,100.0
5/18/2025 4:06,32.7,95.5,0.85,361.3,0.32,0.02,9.82,163.0,56.0,98.0
5/18/2025 4:07,32.7,95.6,0.88,358.82,0.33,0.02,9.82,165.0,56.0,98.0
5/18/2025 4:08,32.7,95.6,0.88,389.57,0.33,0.02,9.82,163.0,55.0,97.0
5/18/2025 4:09,32.7,95.6,0.9,390.47,0.33,0.02,9.72,160.0,57.0,96.0
5/18/2025 4:10,32.7,95.6,0.87,381.71,0.33,0.02,9.88,168.0,57.0,99.0
5/18/2025 4:11,32.7,95.6,0.86,372.61,0.32,0.02,9.86,160.0,61.0,101.0
5/18/2025 4:12,32.7,95.6,0.88,360.89,0.33,0.02,9.86,160.0,61.0,101.0
5/18/2025 4:13,32.7,95.6,0.88,382.93,0.33,0.02,9.8,159.0,63.0,98.0
5/18/2025 4:14,32.7,95.6,0.89,386.45,0.33,0.02,9.78,163.0,54.0,97.0
5/18/2025 4:15,32.7,95.6,0.88,401.36,0.33,0.02,9.85,164.0,59.0,98.0
5/18/2025 4:16,32.7,95.6,0.9,404.11,0.33,0.02,9.77,159.0,58.0,99.0
5/18/2025 4:17,32.7,95.6,0.91,374.68,0.33,0.02,9.75,163.0,56.0,96.0
5/18/2025 4:18,32.7,95.6,0.94,369.19,0.34,0.02,9.67,157.0,58.0,94.0
5/18/2025 4:19,32.7,95.6,0.94,375.58,0.34,0.02,9.71,162.0,51.0,95.0
5/18/2025 4:20,32.7,95.7,0.97,413.49,0.35,0.02,9.61,160.0,49.0,96.0
5/18/2025 4:21,32.7,95.7,0.93,465.06,0.34,0.02,9.7,165.0,52.0,95.0
5/18/2025 4:22,32.7,95.7,0.94,472.11,0.34,0.02,9.78,163.0,56.0,96.0
5/18/2025 4:23,32.7,95.6,0.94,490.81,0.34,0.02,9.65,157.0,57.0,93.0
5/18/2025 4:24,32.7,95.7,0.99,519.7,0.35,0.02,9.48,157.0,45.0,89.0
5/18/2025 4:25,32.6,95.7,1.02,500.47,0.36,0.02,9.28,152.0,45.0,88.0
5/18/2025 4:26,32.7,95.7,1.01,482.44,0.36,0.02,9.44,157.0,47.0,88.0
5/18/2025 4:27,32.6,95.8,0.88,447.2,0.33,0.02,9.98,160.0,63.0,103.0
5/18/2025 4:28,32.6,95.7,0.86,443.03,0.32,0.02,10.03,161.0,64.0,104.0
5/18/2025 4:29,32.6,95.8,0.86,443.55,0.32,0.02,10.0,162.0,61.0,105.0
5/18/2025 4:30,32.6,95.8,0.87,446.63,0.32,0.02,9.93,164.0,62.0,99.0
5/18/2025 4:31,32.6,95.7,0.89,448.69,0.32,0.02,9.84,160.0,60.0,101.0
5/18/2025 4:32,32.6,95.7,0.91,453.37,0.33,0.02,9.82,163.0,59.0,97.0
5/18/2025 4:33,32.6,95.7,0.93,457.06,0.33,0.02,9.79,161.0,57.0,96.0
5/18/2025 4:34,32.6,95.7,0.97,468.31,0.34,0.02,9.56,155.0,54.0,91.0
5/18/2025 4:35,32.6,95.7,0.93,462.92,0.34,0.02,9.79,163.0,53.0,96.0
5/18/2025 4:36,32.6,95.7,1.08,509.3,0.37,0.02,9.55,155.0,54.0,90.0
5/18/2025 4:37,32.7,95.7,0.97,482.0,0.35,0.02,9.91,160.0,61.0,99.0
5/18/2025 4:38,32.6,95.7,0.95,482.11,0.34,0.02,9.87,159.0,58.0,97.0
5/18/2025 4:39,32.7,95.6,0.93,482.64,0.34,0.02,9.79,159.0,55.0,100.0
5/18/2025 4:40,32.6,95.7,0.91,478.18,0.33,0.02,9.92,160.0,62.0,102.0
5/18/2025 4:41,32.6,95.7,0.98,491.65,0.35,0.02,9.62,158.0,50.0,96.0
5/18/2025 4:42,32.6,95.7,1.04,506.17,0.36,0.02,9.58,160.0,44.0,89.0
5/18/2025 4:43,32.6,95.7,1.02,504.36,0.36,0.02,9.54,154.0,54.0,90.0
5/18/2025 4:44,32.6,95.7,1.07,526.01,0.37,0.03,9.37,152.0,49.0,86.0
5/18/2025 4:45,32.6,95.7,0.95,499.87,0.35,0.02,9.83,163.0,56.0,98.0
5/18/2025 4:46,32.6,95.7,1.05,535.98,0.37,0.02,9.28,155.0,38.0,87.0
5/18/2025 4:47,32.6,95.8,0.94,507.89,0.35,0.02,9.85,163.0,61.0,98.0
5/18/2025 4:48,32.6,95.7,0.94,512.65,0.34,0.02,9.93,165.0,62.0,99.0
5/18/2025 4:49,32.6,95.8,0.93,513.28,0.34,0.02,9.9,164.0,63.0,99.0
5/18/2025 4:50,32.6,95.7,0.94,521.15,0.34,0.02,9.87,160.0,65.0,98.0
5/18/2025 4:51,32.6,95.8,0.94,518.64,0.34,0.02,9.86,164.0,61.0,98.0
5/18/2025 4:52,32.6,95.8,0.95,529.02,0.35,0.02,9.81,159.0,60.0,100.0
5/18/2025 4:53,32.6,95.7,0.97,526.58,0.35,0.02,9.69,161.0,53.0,95.0
5/18/2025 4:54,32.6,95.7,0.98,525.33,0.36,0.02,9.73,162.0,53.0,98.0
5/18/2025 4:55,32.6,95.7,0.99,532.11,0.36,0.02,9.71,161.0,56.0,95.0
5/18/2025 4:56,32.6,95.7,1.01,529.67,0.36,0.02,9.76,161.0,59.0,96.0
5/18/2025 4:57,32.6,95.7,1.01,531.54,0.36,0.02,9.54,158.0,52.0,91.0
5/18/2025 4:58,32.6,95.8,1.02,534.0,0.37,0.02,9.62,160.0,49.0,96.0
5/18/2025 4:59,32.6,95.7,1.05,550.49,0.38,0.02,9.77,158.0,62.0,96.0
5/18/2025 5:00,32.6,95.8,1.08,561.54,0.39,0.02,9.45,153.0,51.0,88.0
5/18/2025 5:01,32.6,95.8,1.06,619.83,0.38,0.02,9.75,158.0,60.0,96.0
5/18/2025 5:02,32.6,95.8,0.99,596.45,0.36,0.02,9.82,159.0,60.0,97.0
5/18/2025 5:03,32.6,95.7,1.06,591.34,0.38,0.02,9.45,153.0,48.0,91.0
5/18/2025 5:04,32.6,95.7,1.11,603.49,0.39,0.02,9.56,154.0,53.0,90.0
5/18/2025 5:05,32.6,95.8,1.13,599.77,0.4,0.02,9.36,151.0,49.0,89.0
5/18/2025 5:06,32.6,95.8,1.15,615.52,0.4,0.02,9.44,156.0,49.0,89.0
5/18/2025 5:07,32.6,95.8,1.1,617.82,0.39,0.02,9.83,159.0,56.0,97.0
5/18/2025 5:08,32.6,95.8,0.98,562.88,0.36,0.02,9.91,160.0,63.0,102.0
5/18/2025 5:09,32.6,95.8,0.97,565.5,0.35,0.02,9.96,160.0,63.0,103.0
5/18/2025 5:10,32.6,95.8,0.96,562.86,0.35,0.02,9.97,161.0,64.0,100.0
5/18/2025 5:11,32.6,95.8,0.95,576.22,0.35,0.02,10.0,161.0,65.0,105.0
5/18/2025 5:12,32.6,95.8,0.95,575.6,0.35,0.02,10.02,161.0,69.0,101.0
5/18/2025 5:13,32.6,95.8,0.95,552.43,0.35,0.02,10.04,162.0,65.0,102.0
5/18/2025 5:14,32.6,95.8,0.96,565.46,0.35,0.02,10.02,161.0,64.0,104.0
5/18/2025 5:15,32.6,95.8,0.96,563.49,0.35,0.02,10.01,161.0,65.0,105.0
5/18/2025 5:16,32.6,95.7,0.97,556.28,0.35,0.02,10.01,161.0,65.0,104.0
5/18/2025 5:17,32.6,95.8,0.97,564.15,0.35,0.02,9.98,160.0,62.0,100.0
5/18/2025 5:18,32.6,95.8,0.98,554.98,0.35,0.02,10.02,161.0,65.0,104.0
5/18/2025 5:19,32.6,95.8,0.98,558.24,0.36,0.02,10.0,164.0,59.0,100.0
5/18/2025 5:20,32.6,95.8,0.98,557.58,0.36,0.02,10.02,161.0,64.0,101.0
5/18/2025 5:21,32.6,95.7,0.98,564.8,0.36,0.02,9.99,165.0,65.0,102.0
5/18/2025 5:22,32.6,95.7,0.98,570.13,0.36,0.02,10.01,165.0,65.0,101.0
5/18/2025 5:24,32.6,95.7,0.99,554.98,0.36,0.02,9.96,160.0,64.0,103.0
5/18/2025 5:25,32.6,95.7,0.99,560.19,0.36,0.01,10.0,161.0,67.0,101.0
5/18/2025 5:26,32.6,95.8,1.0,560.85,0.36,0.01,9.97,161.0,68.0,100.0
5/18/2025 5:27,32.6,95.7,1.01,575.51,0.37,0.01,9.93,163.0,58.0,99.0
5/18/2025 5:28,32.6,95.7,1.01,581.14,0.37,0.01,9.96,160.0,59.0,104.0
5/18/2025 5:29,32.6,95.7,1.0,559.54,0.37,0.01,9.96,163.0,58.0,99.0
5/18/2025 5:30,32.6,95.7,1.0,554.98,0.37,0.01,10.0,165.0,61.0,101.0
5/18/2025 5:31,32.6,95.7,1.01,551.09,0.37,0.01,9.96,160.0,67.0,100.0
5/18/2025 5:32,32.6,95.7,1.01,556.94,0.37,0.01,10.0,165.0,59.0,103.0
5/18/2025 5:33,32.6,95.8,1.0,556.28,0.37,0.01,10.03,161.0,65.0,104.0
5/18/2025 5:34,32.6,95.8,1.02,554.99,0.37,0.01,9.99,164.0,65.0,101.0
5/18/2025 5:35,32.6,95.7,1.01,552.38,0.37,0.01,10.04,165.0,61.0,101.0
5/18/2025 5:36,32.6,95.7,1.01,554.98,0.37,0.01,10.03,168.0,60.0,100.0
5/18/2025 5:37,32.6,95.8,1.01,553.03,0.37,0.01,10.03,164.0,60.0,101.0
5/18/2025 5:38,32.6,95.7,1.01,560.4,0.37,0.01,10.05,161.0,64.0,101.0
5/18/2025 5:39,32.6,95.8,1.02,553.68,0.37,0.01,10.02,164.0,65.0,101.0
5/18/2025 5:40,32.6,95.7,1.02,558.88,0.37,0.01,10.06,161.0,65.0,102.0
5/18/2025 5:41,32.6,95.7,1.01,570.92,0.37,0.01,10.08,162.0,70.0,102.0
5/18/2025 5:42,32.6,95.8,1.02,558.24,0.38,0.01,10.09,169.0,61.0,101.0
5/18/2025 5:43,32.6,95.7,1.02,537.11,0.38,0.01,10.06,161.0,68.0,101.0
5/18/2025 5:44,32.6,95.7,1.02,540.88,0.38,0.01,10.06,166.0,65.0,101.0
5/18/2025 5:45,32.6,95.7,1.02,545.95,0.38,0.01,10.07,165.0,66.0,101.0
5/18/2025 5:46,32.6,95.7,1.02,548.53,0.38,0.01,10.07,161.0,69.0,101.0
